IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
78,0,4173.33,4172.31,4160.51,4228.72,4186.15,4171.79,4176.92,4161.03,4236.41,4173.85,4170.77,4210.77,4182.05,4174.36,837,2032,2044,0,11.4251,
79,0,4172.82,4178.46,4166.67,4230.77,4185.64,4173.85,4177.95,4168.21,4230.26,4178.97,4169.74,4209.74,4182.56,4173.85,847,2034,2040,0,11.433,
80,0,4174.87,4183.08,4166.67,4226.67,4187.69,4169.74,4175.9,4172.82,4216.92,4189.23,4177.44,4208.21,4188.72,4180,849,2033,2039,0,11.4409,
81,0,4172.31,4174.36,4164.1,4227.69,4183.08,4171.79,4169.74,4168.72,4220,4183.59,4172.31,4206.67,4182.05,4174.87,524,2033,2036,0,11.4488,
82,0,4172.82,4173.85,4167.69,4228.72,4180,4175.38,4169.74,4170.77,4222.56,4180,4169.74,4208.72,4177.95,4173.33,837,2032,2033,0,11.4567,
83,0,4176.41,4177.95,4169.23,4226.15,4184.62,4172.82,4171.28,4173.85,4220.51,4185.13,4175.38,4208.21,4181.54,4178.97,847,2033,2030,0,11.4645,
84,0,4169.74,4167.69,4168.21,4233.85,4181.03,4169.74,4165.13,4163.59,4233.33,4175.9,4168.21,4208.72,4173.33,4172.82,849,2033,2030,0,11.4724,
85,0,4167.18,4165.13,4164.1,4234.36,4178.97,4172.31,4170.26,4163.59,4233.33,4168.72,4163.59,4211.28,4167.18,4169.23,524,2036,2029,0,11.4803,
86,0,4170.26,4170.77,4168.72,4229.23,4180,4177.44,4179.49,4172.31,4224.62,4171.79,4168.72,4208.72,4169.74,4174.36,837,2038,2029,0,11.4882,
87,0,4173.33,4172.31,4173.33,4229.23,4184.62,4176.41,4177.95,4170.77,4224.1,4175.9,4174.87,4208.72,4175.9,4179.49,847,2042,2030,0,11.4961,
88,0,4170.77,4168.72,4168.21,4233.33,4188.21,4173.33,4172.82,4166.67,4227.69,4175.9,4172.82,4211.79,4175.38,4175.9,849,2043,2031,0,11.5039,
89,0,4164.62,4166.15,4160,4236.92,4181.03,4177.95,4171.79,4169.74,4230.77,4169.74,4164.1,4213.33,4168.21,4166.15,524,2046,2032,0,11.5118,
90,0,4164.62,4169.23,4155.38,4236.41,4180,4180,4178.46,4178.97,4227.69,4168.21,4162.56,4218.97,4168.72,4164.62,837,2047,2032,0,11.5197,
91,0,4166.67,4167.69,4161.54,4238.97,4182.05,4174.87,4179.49,4176.92,4228.21,4168.21,4158.97,4218.97,4168.21,4165.64,847,2050,2033,0,11.5276,
92,0,4169.23,4167.69,4166.67,4234.87,4181.54,4173.33,4174.87,4171.79,4232.31,4170.26,4163.59,4213.85,4170.26,4168.72,849,2052,2032,0,11.5355,
93,0,4170.77,4170.77,4163.59,4229.23,4177.44,4176.41,4174.36,4175.38,4230.26,4173.33,4171.79,4210.77,4173.33,4171.79,524,2055,2034,0,11.5433,
94,0,4167.69,4169.23,4166.67,4231.79,4176.41,4171.79,4175.9,4173.33,4227.69,4171.28,4168.21,4208.72,4171.79,4170.77,837,2056,2032,0,11.5512,
